"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.sentence","Answer.WritingTexts","Approve","Reject"
"34XASH8KLQFK7LWIQKHJ3TRDVGWMPN","3K9PHCH9NPCVG55P41X9AAIH1XPDGS","short and easy - correct ONE sentence.","someone that learns English wrote a sentence, you should correct it.","writing, correction, grammatical, errors, learner language, fix, correct, check","$0.10","Sat Dec 10 00:38:27 PST 2016","20","BatchId:2626033;","3600","604800","Sat Dec 17 00:38:27 PST 2016","","","30H4UDGLT3BNU5TCGNMKRDMUIUTPM6","A213OUMF0EHT0T","Approved","Sat Dec 10 05:52:49 PST 2016","Sat Dec 10 05:54:00 PST 2016","Sat Dec 17 05:54:00 PST 2016","Sat Dec 10 09:30:39 PST 2016","","","71","100% (1/1)","100% (1/1)","100% (1/1)","However , there are both sides of stories .","However, there are two sides to every story."
"34XASH8KLQFK7LWIQKHJ3TRDVGWMPN","3K9PHCH9NPCVG55P41X9AAIH1XPDGS","short and easy - correct ONE sentence.","someone that learns English wrote a sentence, you should correct it.","writing, correction, grammatical, errors, learner language, fix, correct, check","$0.10","Sat Dec 10 00:38:27 PST 2016","20","BatchId:2626033;","3600","604800","Sat Dec 17 00:38:27 PST 2016","","","3180JW2OT55T0N58TB0EDFPWN0KJ5X","A31VW44MXV7PP5","Approved","Sat Dec 10 10:46:39 PST 2016","Sat Dec 10 10:47:11 PST 2016","Sat Dec 17 10:47:11 PST 2016","Sun Dec 11 00:29:26 PST 2016","","","32","100% (2/2)","100% (2/2)","100% (2/2)","However , there are both sides of stories .","However, there are two sides of stories."
"34XASH8KLQFK7LWIQKHJ3TRDVGWMPN","3K9PHCH9NPCVG55P41X9AAIH1XPDGS","short and easy - correct ONE sentence.","someone that learns English wrote a sentence, you should correct it.","writing, correction, grammatical, errors, learner language, fix, correct, check","$0.10","Sat Dec 10 00:38:27 PST 2016","20","BatchId:2626033;","3600","604800","Sat Dec 17 00:38:27 PST 2016","","","32VNZTT0A8XS2SKLNBQDAE59XKF4RZ","A201BS5OHBGQGM","Approved","Sat Dec 10 00:41:54 PST 2016","Sat Dec 10 00:42:02 PST 2016","Sat Dec 17 00:42:02 PST 2016","Sat Dec 10 09:30:39 PST 2016","","","8","100% (2/2)","100% (2/2)","100% (2/2)","However , there are both sides of stories .","However , there are two sides to each story."
"34XASH8KLQFK7LWIQKHJ3TRDVGWMPN","3K9PHCH9NPCVG55P41X9AAIH1XPDGS","short and easy - correct ONE sentence.","someone that learns English wrote a sentence, you should correct it.","writing, correction, grammatical, errors, learner language, fix, correct, check","$0.10","Sat Dec 10 00:38:27 PST 2016","20","BatchId:2626033;","3600","604800","Sat Dec 17 00:38:27 PST 2016","","","3300DTYQT3AAIT2EZ2DQEA7VEOVEQ4","A364KJDYEBAWC9","Approved","Sat Dec 10 07:19:33 PST 2016","Sat Dec 10 07:19:50 PST 2016","Sat Dec 17 07:19:50 PST 2016","Sat Dec 10 09:30:39 PST 2016","","","17","100% (2/2)","100% (2/2)","100% (2/2)","However , there are both sides of stories .","However, there are two sides to the story."
"34XASH8KLQFK7LWIQKHJ3TRDVGWMPN","3K9PHCH9NPCVG55P41X9AAIH1XPDGS","short and easy - correct ONE sentence.","someone that learns English wrote a sentence, you should correct it.","writing, correction, grammatical, errors, learner language, fix, correct, check","$0.10","Sat Dec 10 00:38:27 PST 2016","20","BatchId:2626033;","3600","604800","Sat Dec 17 00:38:27 PST 2016","","","35GMH2SV3FA7XHPYKPLMP5CVZOYOET","A369K7I5SXBPNC","Approved","Sat Dec 10 12:08:01 PST 2016","Sat Dec 10 12:08:41 PST 2016","Sat Dec 17 12:08:41 PST 2016","Sun Dec 11 00:29:27 PST 2016","","","40","100% (2/2)","100% (2/2)","100% (2/2)","However , there are both sides of stories .","there are two sides to every story ."
"34XASH8KLQFK7LWIQKHJ3TRDVGWMPN","3K9PHCH9NPCVG55P41X9AAIH1XPDGS","short and easy - correct ONE sentence.","someone that learns English wrote a sentence, you should correct it.","writing, correction, grammatical, errors, learner language, fix, correct, check","$0.10","Sat Dec 10 00:38:27 PST 2016","20","BatchId:2626033;","3600","604800","Sat Dec 17 00:38:27 PST 2016","","","374TNBHA8CO8OYJ5Z3PKLDZBWZDQY6","ABI22TZRQ5H91","Approved","Sat Dec 10 01:11:41 PST 2016","Sat Dec 10 01:12:00 PST 2016","Sat Dec 17 01:12:00 PST 2016","Sat Dec 10 09:30:39 PST 2016","","","19","100% (2/2)","100% (2/2)","100% (2/2)","However , there are both sides of stories .","However, there are two sides to all stories ."
"34XASH8KLQFK7LWIQKHJ3TRDVGWMPN","3K9PHCH9NPCVG55P41X9AAIH1XPDGS","short and easy - correct ONE sentence.","someone that learns English wrote a sentence, you should correct it.","writing, correction, grammatical, errors, learner language, fix, correct, check","$0.10","Sat Dec 10 00:38:27 PST 2016","20","BatchId:2626033;","3600","604800","Sat Dec 17 00:38:27 PST 2016","","","37Q970SNZF1NB8NFFI7G2Q3274K1S7","AJ2JF9TD9LSLA","Approved","Sat Dec 10 18:48:32 PST 2016","Sat Dec 10 18:49:42 PST 2016","Sat Dec 17 18:49:42 PST 2016","Sun Dec 11 00:29:28 PST 2016","","","70","100% (2/2)","100% (2/2)","100% (2/2)","However , there are both sides of stories .","There are two sides to every story."
"34XASH8KLQFK7LWIQKHJ3TRDVGWMPN","3K9PHCH9NPCVG55P41X9AAIH1XPDGS","short and easy - correct ONE sentence.","someone that learns English wrote a sentence, you should correct it.","writing, correction, grammatical, errors, learner language, fix, correct, check","$0.10","Sat Dec 10 00:38:27 PST 2016","20","BatchId:2626033;","3600","604800","Sat Dec 17 00:38:27 PST 2016","","","38F5OAUN5O5CWLO1T4CQZMND1FG7H2","AFZ3OILHAA7V3","Approved","Sat Dec 10 12:02:54 PST 2016","Sat Dec 10 12:03:13 PST 2016","Sat Dec 17 12:03:13 PST 2016","Sun Dec 11 00:29:27 PST 2016","","","19","100% (2/2)","100% (2/2)","100% (2/2)","However , there are both sides of stories .","However , there are two sides to all stories ."
"34XASH8KLQFK7LWIQKHJ3TRDVGWMPN","3K9PHCH9NPCVG55P41X9AAIH1XPDGS","short and easy - correct ONE sentence.","someone that learns English wrote a sentence, you should correct it.","writing, correction, grammatical, errors, learner language, fix, correct, check","$0.10","Sat Dec 10 00:38:27 PST 2016","20","BatchId:2626033;","3600","604800","Sat Dec 17 00:38:27 PST 2016","","","3BDCF01OGYNXX13S7YHO4R0HMVDYLG","A3KUGXG2Y6X7BD","Approved","Sat Dec 10 16:47:52 PST 2016","Sat Dec 10 16:48:19 PST 2016","Sat Dec 17 16:48:19 PST 2016","Sun Dec 11 00:29:27 PST 2016","","","27","100% (2/2)","100% (2/2)","100% (2/2)","However , there are both sides of stories .","However, there are two sides to a story."
"34XASH8KLQFK7LWIQKHJ3TRDVGWMPN","3K9PHCH9NPCVG55P41X9AAIH1XPDGS","short and easy - correct ONE sentence.","someone that learns English wrote a sentence, you should correct it.","writing, correction, grammatical, errors, learner language, fix, correct, check","$0.10","Sat Dec 10 00:38:27 PST 2016","20","BatchId:2626033;","3600","604800","Sat Dec 17 00:38:27 PST 2016","","","3D8YOU6S9FDYX7GGATEXCNC70BPU6G","A1FGKIKJYSL1MI","Approved","Sat Dec 10 09:52:27 PST 2016","Sat Dec 10 09:52:52 PST 2016","Sat Dec 17 09:52:52 PST 2016","Sat Dec 10 10:18:38 PST 2016","","","25","100% (2/2)","100% (2/2)","100% (2/2)","However , there are both sides of stories .","However , there are two sides to every story ."
